Date,Open,High,Low,Close
2023-12-11,1.358109951019287,1.360450029373169,1.3545000553131104,1.357800006866455
2023-12-12,1.3578100204467771,1.3618299961090088,1.3544000387191772,1.358299970626831
2023-12-13,1.3585200309753418,1.3608100414276123,1.3489999771118164,1.351009964942932
2023-12-14,1.3509700298309326,1.35099995136261,1.3388999700546265,1.3406000137329102
2023-12-15,1.3403899669647217,1.3414700031280518,1.3344999551773071,1.3376699686050415
2023-12-18,1.338189959526062,1.3409099578857422,1.3349299430847168,1.3398100137710571
2023-12-19,1.3397899866104126,1.340019941329956,1.332800030708313,1.3335000276565552
2023-12-20,1.3338299989700315,1.3371000289916992,1.3307000398635864,1.3358299732208252
2023-12-21,1.3359099626541138,1.3359999656677246,1.3271000385284424,1.3280999660491943
2023-12-22,1.3284300565719604,1.329300045967102,1.3214000463485718,1.3270000219345093
2023-12-25,1.3269000053405762,1.3291000127792358,1.3245999813079834,1.325070023536682
2023-12-26,1.3252099752426147,1.326200008392334,1.3188999891281128,1.3193999528884888
2023-12-27,1.319640040397644,1.3219300508499146,1.317199945449829,1.3204400539398191
2023-12-28,1.3205300569534302,1.3235100507736206,1.3177000284194946,1.3230199813842771
2023-12-29,1.3229999542236328,1.326509952545166,1.317399978637695,1.3245999813079834
2024-01-02,1.3243999481201172,1.333400011062622,1.3224999904632568,1.3321599960327148
2024-01-03,1.332110047340393,1.3371599912643433,1.3313000202178955,1.3347699642181396
2024-01-04,1.3348100185394287,1.336590051651001,1.3312000036239624,1.3351000547409058
2024-01-05,1.3355799913406372,1.3398900032043457,1.3282999992370603,1.3359999656677246
2024-01-08,1.3359400033950806,1.3404699563980105,1.3339999914169312,1.3350600004196167
2024-01-09,1.3350800275802612,1.341439962387085,1.3336000442504885,1.339020013809204
2024-01-10,1.338919997215271,1.339460015296936,1.3360999822616575,1.3378700017929075
2024-01-11,1.3379600048065186,1.344290018081665,1.3346999883651731,1.3379499912261963
2024-01-12,1.3377900123596191,1.3411600589752195,1.333899974822998,1.3408000469207764
